date,name,scope
2024-01-26,Republic Day,India national
2024-03-25,Holi,India national
2024-03-29,Good Friday,India national
2024-04-11,Id-ul-Fitr,India national
2024-04-14,Dr. B. R. Ambedkar's Jayanti,India national
2024-04-17,Ram Navami,India national
2024-04-21,Mahavir Jayanti,India national
2024-05-23,Buddha Purnima,India national
2024-06-17,Id-ul-Zuha (Bakrid),India national
2024-07-17,Muharram,India national
2024-08-15,Independence Day,India national
2024-08-26,Janmashtami (Vaishnava),India national
2024-09-16,Milad-un-Nabi,India national
2024-10-02,Mahatma Gandhi's Jayanti,India national
2024-10-12,Dussehra,India national
2024-10-31,Diwali (Deepavali),India national
2024-11-15,Guru Nanak's Jayanti,India national
2024-12-25,Christmas,India national
2025-01-26,Republic Day,India national
2025-02-26,Maha Shivaratri,India national
2025-03-14,Holi,India national
2025-03-31,Id-ul-Fitr,India national
2025-04-10,Mahavir Jayanti,India national
2025-04-14,Dr. B. R. Ambedkar's Jayanti,India national
2025-04-18,Good Friday,India national
2025-05-12,Buddha Purnima,India national
2025-06-07,Id-ul-Zuha (Bakrid),India national
2025-07-06,Muharram,India national
2025-08-15,Independence Day,India national
2025-08-16,Janmashtami (Vaishnava),India national
2025-09-05,Milad-un-Nabi,India national
2025-10-02,Dussehra; Mahatma Gandhi's Jayanti,India national
2025-10-20,Diwali (Deepavali),India national
2025-11-05,Guru Nanak's Jayanti,India national
2025-12-25,Christmas,India national
2026-01-26,Republic Day,India national
2026-03-04,Holi,India national
2026-03-21,Id-ul-Fitr,India national
2026-03-26,Ram Navami,India national
2026-03-31,Mahavir Jayanti,India national
2026-04-03,Good Friday,India national
2026-04-14,Dr. B. R. Ambedkar's Jayanti,India national
2026-05-01,Buddha Purnima,India national
2026-05-27,Id-ul-Zuha (Bakrid),India national
2026-06-26,Muharram,India national
2026-08-15,Independence Day,India national
2026-08-26,Milad-un-Nabi,India national
2026-09-04,Janmashtami (Vaishnava),India national
2026-10-02,Mahatma Gandhi's Jayanti,India national
2026-10-20,Dussehra,India national
2026-11-08,Diwali (Deepavali),India national
2026-11-24,Guru Nanak's Jayanti,India national
2026-12-25,Christmas,India national
2027-01-26,Republic Day,India national
2027-03-06,Maha Shivaratri,India national
2027-03-10,Id-ul-Fitr (estimated),India national
2027-03-22,Holi,India national
2027-03-26,Good Friday,India national
2027-04-14,Dr. B. R. Ambedkar's Jayanti,India national
2027-04-15,Ram Navami,India national
2027-04-18,Mahavir Jayanti,India national
2027-05-17,Id-ul-Zuha (Bakrid) (estimated),India national
2027-05-20,Buddha Purnima,India national
2027-06-16,Muharram (estimated),India national
2027-08-15,Independence Day; Milad-un-Nabi (estimated),India national
2027-08-25,Janmashtami (Vaishnava),India national
2027-10-02,Mahatma Gandhi's Jayanti,India national
2027-10-09,Dussehra,India national
2027-10-29,Diwali (Deepavali),India national
2027-11-14,Guru Nanak's Jayanti,India national
2027-12-25,Christmas,India national
2028-01-26,Republic Day,India national
2028-02-23,Maha Shivaratri,India national
2028-02-27,Id-ul-Fitr (estimated),India national
2028-03-11,Holi,India national
2028-04-03,Ram Navami,India national
2028-04-07,Mahavir Jayanti,India national
2028-04-14,Dr. B. R. Ambedkar's Jayanti; Good Friday,India national
2028-05-06,Id-ul-Zuha (Bakrid) (estimated),India national
2028-05-08,Buddha Purnima,India national
2028-06-04,Muharram (estimated),India national
2028-08-04,Milad-un-Nabi (estimated),India national
2028-08-13,Janmashtami (Vaishnava),India national
2028-08-15,Independence Day,India national
2028-09-27,Dussehra,India national
2028-10-02,Mahatma Gandhi's Jayanti,India national
2028-10-17,Diwali (Deepavali),India national
2028-11-02,Guru Nanak's Jayanti,India national
2028-12-25,Christmas,India national
